G,Date,,Opp,W/L,Tm,OppScore,TeamFG,TeamFGA,TeamFGPCT,Team3P,Team3PA,Team3PPCT,TeamFT,TeamFTA,TeamFTPCT,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,OppFG,OppFGA,OppFGPCT,Opp3P,Opp3PA,Opp3PPCT,OppFT,OppFTA,OppFTPCT,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,2021-11-09,,Western Illinois,L,74,75,23,59,0.39,5,20,0.25,23,31,0.742,6,35,6,8,3,12,18,30,77,0.39,9,33,0.273,6,14,0.429,22,55,11,7,1,17,25
2,2021-11-12,,Sam Houston State,W,74,65,22,54,0.407,4,22,0.182,26,36,0.722,9,39,10,8,6,11,16,24,64,0.375,9,30,0.3,8,16,0.5,13,40,10,4,1,17,30
3,2021-11-16,,Creighton,L,69,77,26,70,0.371,10,26,0.385,7,9,0.778,8,35,15,9,5,7,18,28,60,0.467,10,23,0.435,11,20,0.55,11,46,16,5,7,16,14
4,2021-11-19,,Idaho State,W,78,60,31,57,0.544,8,23,0.348,8,11,0.727,6,30,18,8,1,8,18,20,51,0.392,12,37,0.324,8,14,0.571,7,26,11,5,2,15,14
5,2021-11-21,,Southern,W,82,59,27,51,0.529,4,23,0.174,24,30,0.8,3,36,18,4,3,15,18,22,65,0.338,6,21,0.286,9,10,0.9,6,28,12,5,1,16,23
6,2021-11-23,,Tennessee State,W,79,73,28,53,0.528,6,25,0.24,17,27,0.63,4,32,18,6,2,10,13,26,64,0.406,13,33,0.394,8,15,0.533,10,35,15,3,2,12,21
7,2021-11-27,,South Dakota,W,83,70,28,61,0.459,9,23,0.391,18,26,0.692,9,34,18,10,4,10,16,25,59,0.424,12,25,0.48,8,16,0.5,11,38,16,8,1,16,21
8,2021-12-01,@,NC State,L (4 OT),100,104,40,96,0.417,9,37,0.243,11,15,0.733,11,44,18,11,4,15,29,33,90,0.367,6,35,0.171,32,43,0.744,23,66,12,9,11,19,19
9,2021-12-04,@,Indiana,L,55,68,23,61,0.377,5,22,0.227,4,5,0.8,4,30,9,9,1,14,18,23,57,0.404,8,22,0.364,14,17,0.824,8,39,10,7,5,14,12
10,2021-12-07,,Michigan,L,67,102,23,72,0.319,5,35,0.143,16,21,0.762,13,36,6,4,3,9,15,39,76,0.513,15,32,0.469,9,12,0.75,14,50,25,7,2,12,18
11,2021-12-11,N,Auburn,L,68,99,23,54,0.426,7,22,0.318,15,17,0.882,8,30,12,6,5,19,14,39,76,0.513,14,31,0.452,7,11,0.636,9,31,26,16,3,8,15
12,2021-12-19,,Kansas State,L,58,67,19,58,0.328,5,28,0.179,15,22,0.682,7,30,9,12,3,17,15,23,59,0.39,6,26,0.231,15,18,0.833,10,42,12,9,3,19,20
13,2021-12-22,,Kennesaw State,W,88,74,30,57,0.526,15,29,0.517,13,21,0.619,3,27,20,10,5,17,21,26,63,0.413,7,26,0.269,15,19,0.789,11,38,8,7,0,21,21
14,2022-01-02,,Ohio State,L (1 OT),79,87,27,65,0.415,8,23,0.348,17,23,0.739,9,31,13,9,0,8,16,30,63,0.476,16,34,0.471,11,14,0.786,13,41,18,4,6,16,19
15,2022-01-05,@,Michigan State,L,67,79,27,60,0.45,7,23,0.304,6,11,0.545,4,25,15,12,1,15,15,29,56,0.518,8,17,0.471,13,19,0.684,9,37,18,13,5,19,12
16,2022-01-08,@,Rutgers,L,65,93,26,53,0.491,6,18,0.333,7,12,0.583,3,19,12,5,3,14,18,35,60,0.583,10,18,0.556,13,14,0.929,8,35,23,9,1,13,17
17,2022-01-11,,Illinois,L,71,81,27,59,0.458,6,12,0.5,11,14,0.786,6,31,13,4,2,11,15,31,66,0.47,7,19,0.368,12,19,0.632,14,38,13,6,8,9,15
18,2022-01-14,@,Purdue,L,65,92,26,57,0.456,8,19,0.421,5,13,0.385,7,29,14,6,1,17,21,32,65,0.492,9,29,0.31,19,27,0.704,14,41,19,7,5,10,16
19,2022-01-17,,Indiana,L,71,78,24,51,0.471,6,17,0.353,17,21,0.81,7,24,11,8,0,13,20,27,50,0.54,4,13,0.308,20,28,0.714,9,30,10,7,2,14,22
20,2022-01-27,,Wisconsin,L,65,73,22,55,0.4,7,20,0.35,14,17,0.824,1,32,10,5,2,13,16,25,68,0.368,10,22,0.455,13,18,0.722,12,44,12,7,2,10,18
21,2022-01-29,,Rutgers,L,61,63,17,58,0.293,6,20,0.3,21,29,0.724,9,40,9,4,6,15,18,23,60,0.383,3,19,0.158,14,17,0.824,6,36,10,10,10,11,21
22,2022-02-01,@,Michigan,L,79,85,30,59,0.508,7,18,0.389,12,15,0.8,3,22,9,6,2,11,22,28,60,0.467,2,15,0.133,27,33,0.818,11,38,14,5,2,11,17
23,2022-02-05,,Northwestern,L,63,87,23,51,0.451,7,18,0.389,10,19,0.526,3,28,13,4,4,15,14,32,66,0.485,13,31,0.419,10,12,0.833,7,36,14,11,4,11,18
24,2022-02-09,,Minnesota,W,78,65,28,58,0.483,7,18,0.389,15,28,0.536,7,32,10,12,4,9,15,22,56,0.393,7,21,0.333,14,17,0.824,6,34,7,4,4,17,19
25,2022-02-13,@,Iowa,L,75,98,27,62,0.435,7,25,0.28,14,16,0.875,5,33,18,5,2,15,15,39,76,0.513,10,28,0.357,10,12,0.833,9,39,19,10,4,8,16
26,2022-02-18,,Maryland,L,74,90,22,55,0.4,5,17,0.294,25,31,0.806,9,30,10,1,2,12,22,31,59,0.525,4,19,0.211,24,33,0.727,8,33,13,9,2,4,24
27,2022-02-22,@,Northwestern,L,65,77,24,58,0.414,7,24,0.292,10,12,0.833,9,32,16,9,3,15,10,30,60,0.5,13,32,0.406,4,6,0.667,6,30,20,10,5,12,14
28,2022-02-25,,Iowa,L,78,88,29,56,0.518,8,18,0.444,12,15,0.8,5,28,14,5,4,8,20,31,62,0.5,9,22,0.409,17,24,0.708,12,34,12,1,4,10,13
29,2022-02-27,@,Penn State,W,93,70,32,55,0.582,13,20,0.65,16,19,0.842,9,32,14,8,1,15,14,27,58,0.466,9,26,0.346,7,10,0.7,6,21,14,10,2,12,16
30,2022-03-01,@,Ohio State,W,78,70,27,55,0.491,9,23,0.391,15,18,0.833,4,28,12,5,1,4,20,22,57,0.386,7,24,0.292,19,24,0.792,11,33,10,2,7,8,17
31,2022-03-06,@,Wisconsin,W,74,73,29,54,0.537,5,18,0.278,11,14,0.786,5,24,8,6,2,10,19,24,60,0.4,5,23,0.217,20,25,0.8,11,31,9,7,4,9,16
32,2022-03-09,N,Northwestern,L,69,71,22,51,0.431,3,15,0.2,22,27,0.815,4,30,10,11,2,10,17,24,59,0.407,10,30,0.333,13,18,0.722,11,36,18,3,4,14,18
